#time,accel_x,accel_y,accel_z
2995.763128,3093.308545,16510.414648,-9002.198242
2995.763375,2935.291235,14006.079712,-7489.062793
2995.763621,3782.838623,13235.146777,-5315.127686
2995.763867,4209.006519,16433.800195,-4970.362646
2995.764113,4089.296436,22840.683838,-7110.778931
2995.764359,3447.650391,29170.953027,-9332.598071
2995.764605,2647.987036,33542.765259,-10577.582935
2995.764851,1800.439648,36061.465405,-9715.670337
2995.765098,1714.248389,36056.677002,-7929.595898
2995.765344,1900.996118,33241.095850,-8896.853369
2995.765590,2193.088721,28505.364966,-10419.565625
2995.765836,2322.375610,23324.312573,-12095.506787
2995.766082,1747.767212,18708.291772,-12310.984937
2995.766328,1288.080493,14216.769458,-10682.927808
2995.766574,991.199487,9816.226807,-9993.397729
2995.766821,1048.660327,6315.903979,-10256.759912
2995.767067,1130.063184,4836.287354,-12334.926953
2995.767313,1086.967554,4189.852905,-13809.755176
2995.767559,579.396802,4218.583325,-13172.897534
2995.767805,162.805713,3289.633081,-12248.735693
2995.768051,746.990918,-172.382520,-10759.542261
2995.768298,1589.749902,-4386.177441,-11707.646118
2995.768544,1168.370410,-4673.481641,-14049.175342
2995.768790,-967.257471,-4007.893579,-14714.763403
2995.769036,-1881.842505,-6100.425830,-14255.076685
2995.769282,-1345.541333,-9734.823950,-12210.428467
2995.769528,-459.686719,-14935.029956,-10486.603271
2995.769774,-105.344873,-19196.708911,-11654.973682
2995.770021,-1029.506714,-21399.374438,-13254.300391
2995.770267,-2341.529224,-21854.272754,-14259.865088
2995.770513,-2154.781494,-22634.782495,-13364.433667
2995.770759,-1120.486377,-23640.347192,-9988.609326
2995.771005,-205.901343,-26154.258936,-8729.259253
2995.771251,167.594116,-28002.582617,-9332.598071
2995.771497,746.990918,-27317.840942,-10338.162769
2995.771744,646.434448,-25368.960791,-11449.072339
2995.771990,852.335791,-25661.053394,-9715.670337
2995.772236,143.652100,-28155.811523,-7493.851196
2995.772482,-1125.274780,-28514.941772,-6593.631372
2995.772728,-2054.225024,-24612.393066,-7632.714893
2995.772974,-3318.363501,-17741.034302,-10266.336719
2995.773220,-4582.501978,-9586.383447,-10730.811841
2995.773467,-4534.617944,-4539.406348,-9198.522778
2995.773713,-3931.279126,-2858.676782,-7187.393384
2995.773959,-4280.832568,-3313.575098,-6138.733057
2995.774205,-4146.757275,-4783.614917,-8106.766821
2995.774451,-4007.893579,-4505.887524,-10189.722266
